DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
94831 1 1 1 08001 2 1 1 3 117.111891805922
94833 1 1 1 08001 1 1 1 1 104.31109943228
94835 1 1 1 08001 2 1 1 4 99.5602807410638
94837 1 1 1 08001 1 1 2 2 114.154610252302
94839 1 1 1 08001 2 1 1 4 122.491085098132
94841 1 1 1 08001 1 1 1 4 123.124417483735
94843 1 1 1 08001 2 1 2 2 116.126131288049
94845 1 1 1 08001 1 1 1 4 134.23140082683
94847 1 1 1 08001 3 1 2 2 118.665138409879
94849 1 1 1 08758 1 1 2 1 56.1420601134442
94851 1 1 1 08758 2 1 2 3 57.0320837412258
94853 1 1 1 08758 1 1 2 1 53.2039102114336
94855 1 1 1 08758 1 1 2 1 56.0320917597582
94857 1 1 1 08758 2 1 2 1 52.1117364652881
94859 1 1 1 08758 1 1 2 1 48.6681562093234
94861 1 1 1 08758 2 1 2 2 54.6756266241418
94863 1 1 1 08758 1 1 2 1 57.5235337364302
94865 1 1 1 08758 1 1 2 1 56.542770641037
